keyword,title,url,source,author,publishedAt,description,domain,ip,org,country,date
повестка,Лавров назвал препятствия для встречи Путина и Зеленского,https://lenta.ru/news/2025/08/24/lavrov-nazval-prepyatstviya-dlya-vstrechi-putina-i-zelenskogo/,Lenta,Антон Похиляк,2025-08-24 13:18:19+00:00,"На данный момент встреча президентов России и Украины Владимира Путина и Владимира Зеленского не запланирована, но она может произойти, когда будет готова повестка их саммита, пояснил министр иностранных дел РФ Сергей Лавров в интервью NBC News, полную версию…",lenta.ru,81.19.72.34,AS24638 Rambler Internet Holding LLC,RU,2025-08-24
повестка,В Великобритании заявили о серьёзной угрозе для Украины,https://news.mail.ru/politics/67563557/,Mail.ru,Инесса Кухаришина,2025-08-23 02:07:09+00:00,"Украина может столкнуться с серьёзными последствиями, если мирная повестка президента США Дональда Трампа по урегулированию конфликта обернётся крахом. Об этом сообщает британская газета The Telegraph.",news.mail.ru,95.163.61.53,AS47764 LLC VK,RU,2025-08-23
повестка,«Остается уповать на чудо» // Дмитрий Дризе — о судьбе переговорного процесса по Украине,https://www.kommersant.ru/doc/7987887,Kommersant.ru,,2025-08-22 15:40:47+00:00,"Готовы проявить «некоторую гибкость»: Сергей Лавров заявил о возможных компромиссах по украинской проблеме. По словам министра иностранных дел РФ, Владимир Путин не против личной встречи с Владимиром Зеленским, однако для этого должна быть подготовлена необхо…",www.kommersant.ru,178.248.238.19,AS51115 HLL LLC,RU,2025-08-22
повестка,Лавров заявил об отсутствии планов по встрече Путина и Зеленского,https://vz.ru/news/2025/8/22/1354683.html#text,Vz.ru,Деловая газета Взгляд,2025-08-22 12:28:55+00:00,"Глава МИД России Сергей Лавров подчеркнул, что встреча между президентами России и Украины возможна только при наличии конкретной и проработанной повестки. Встреча между президентом России Владимиром Путиным и президентом Украины Владимиром Зеленским пока не …",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-08-22
повестка,"Лавров: Путин готов к встрече с Зеленским, но повестка пока не сформирована",https://rg.ru/2025/08/22/lavrov-putin-gotov-k-vstreche-s-zelenskim-no-povestka-poka-ne-sformirovana.html,Rg.ru,,2025-08-22 12:02:04+00:00,"Встреча президента России Владимира Путина и Владимира Зеленского пока не запланирована, но может состояться, когда будет сформирована повестка дня потенциального саммита. Об этом заявил министр иностранных дел России Сергей Лавров в интервью телеканалу NBC.",rg.ru,185.65.148.114,AS51115 HLL LLC,RU,2025-08-22
повестка,Лавров: Путин готов встретиться с Зеленским,https://www.vedomosti.ru/politics/news/2025/08/22/1133526-lavrov-putin-gotov,Vedomosti.ru,Ведомости,2025-08-22 11:46:59+00:00,"Встреча лидеров РФ и Украины еще не запланирована, так как должна быть готова повестка дня – МИД",www.vedomosti.ru,185.65.148.33,AS51115 HLL LLC,RU,2025-08-22
повестка,"Путин готов встретиться с Зеленским, когда будет готова повестка дня для саммита, но пока ее нет — Лавров",https://tvrain.tv/news/putin-gotov-vstretitsja-s-zelenskim-kogda-budet-gotova-povestka-dnja-dlja-sammita-no-poka-ee-net-lavrov-564523/,Tvrain.tv,Телеканал Дождь,2025-08-22 11:44:03+00:00,"По словам главы российского МИД Сергея Лаврова, встреча Путина и Зеленского пока не запланирована. Его заявление цитируют российские СМИ.",tvrain.tv,109.234.211.251,"AS13335 Cloudflare, Inc.",ES,2025-08-22
повестка,Стала известна повестка предстоящего саммита ШОС в Китае,https://news.mail.ru/politics/67549309/,Mail.ru,Леонид Монин,2025-08-22 04:40:22+00:00,В китайском Тяньцзине с 31 августа по 1 сентября 2025 года пройдет саммит Шанхайской организации сотрудничества.,news.mail.ru,95.163.61.53,AS47764 LLC VK,RU,2025-08-22
мобилизация,"Ходорковский LIVE: Путин — о конце войны. Сколько солдат вернется с фронта. Три года мобилизации | Пастухов, Еловский (2025-21-09)",https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dx4qN7Qp1Tyw,YouTube,"echo@echo.msk.ru (эхо москвы), эхо москвы",2025-09-21 12:23:11+00:00,"Три года мобилизации. Путин заговорил о конце войны: почему это важно? Солдаты вернутся с фронта — что дальше? Рост преступности и безработицы. Сравнение с последствиями войны в Афганистане. Война Путина с НАТО. Чего боится Кремль. 

Чисто конкретная политика…",www.youtube.com,142.250.207.110,AS15169 Google LLC,JP,2025-09-21
мобилизация,Не меньше 15 тысяч мобилизованных россиян погибли на войне с Украиной — BBC и «Медиазона»,https://tvrain.tv/news/ne-menshe-15-tysjach-mobilizovannyh-rossijan-pogibli-na-vojne-s-ukrainoj-bbc-i-mediazona-565292/,Tvrain.tv,Телеканал Дождь,2025-09-21 11:56:34+00:00,"Издания установили это число — 15 077 человек — на основе открытых источников. Общее число мобилизованных с сентября 2022 года, когда была объявлена «частичная мобилизация», оценивается «Медиазоной» в 500 тысяч человек.",tvrain.tv,109.234.211.251,"AS13335 Cloudflare, Inc.",ES,2025-09-21
мобилизация,"Общество: Ветеран СВО Сергей Грызов: Для Вооруженных сил я не режиссер, а десантник",https://vz.ru/society/2025/9/21/1336368.html#text,Vz.ru,Деловая газета Взгляд,2025-09-21 11:50:00+00:00,"«Дети спрашивают, было ли мне страшно. Я отвечаю: «Не представляете, насколько страшно». И показываю им на свои волосы – насколько я поседел». Ветеран СВО Сергей Грызов рассказал газете ВЗГЛЯД о том, что его жена за тысячи километров почувствовала, как он едв…",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-09-21
мобилизация,Александр Плющев: Российские истребители вторглись в границы Европы (2025-20-09),https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DdBPZTVa9mTs,YouTube,"echo@echo.msk.ru (эхо москвы), эхо москвы",2025-09-20 09:52:43+00:00,"Рекомендуем хороший VPN: 
Для российских карт - https://t.me/breakfastvpnbot?start=yt-breakfast_video-descript_vo
Для иностранных карт - https://vpn.breakfast.show/?utm_source=yt&utm_medium=video&utm_campaign=decript

За вчерашний день произошло сразу два инц…",www.youtube.com,142.250.207.110,AS15169 Google LLC,JP,2025-09-20
мобилизация,Алексей Арестович: Арестович LIVE #4. Политика и война. Ответы на вопросы зрителей. (2025-19-09),https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DCS3YshJNQLc,YouTube,"echo@echo.msk.ru (эхо москвы), эхо москвы",2025-09-19 20:54:09+00:00," Кино-модуль «Звездные войны». Эпизод II «Атака клонов» 20 сентября https://apeiron.school/star-wars
 Модуль «Искусство читать» 25 сентября https://apeiron.school/art-of-reading 
 Семинар «Священная рана» 27 сентября https://apeiron.school/sacred-wound …",www.youtube.com,142.250.207.110,AS15169 Google LLC,JP,2025-09-19
мобилизация,Украинские СМИ раскрыли смысл «тяжелых решений» Зеленского,https://vz.ru/news/2025/9/19/1361000.html#text,Vz.ru,Деловая газета Взгляд,2025-09-19 12:23:56+00:00,"Президент Украины Владимир Зеленский рассматривает ужесточение мобилизации, включая снижение призывного возраста до 18 лет и отмену отсрочек для сотен тысяч мужчин, как возможную меру при ухудшении ситуации на фронте, сообщило украинское издание «Страна». Воз…",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-09-19
мобилизация,Мобилизацию на Украине сравнили с раковой опухолью,https://lenta.ru/news/2025/09/17/mobilizatsiyu-na-ukraine-sravnili-s-rakovoy-opuholyu/,Lenta,Виктория Кондратьева,2025-09-17 15:50:27+00:00,"Принудительная мобилизация, как раковая опухоль, значительно дестабилизирует украинское общество. Об этом на своей странице в социальной сети X заявил подполковник армии США в отставке Дэниел Дэвис",lenta.ru,81.19.72.34,AS24638 Rambler Internet Holding LLC,RU,2025-09-17
мобилизация,Депутат Рады Дмитрук: Уклонисты на Украине платят до 50 тыс. долларов,https://vz.ru/news/2025/9/17/1360325.html#text,Vz.ru,Деловая газета Взгляд,2025-09-17 06:13:16+00:00,"Украинские мужчины вынуждены платить десятки тысяч долларов, чтобы избежать призыва на фронт, заявил депутат Верховной рады Артем Дмитрук. Цена «билета на жизнь» для украинских мужчин составляет от 30 до 50 тыс. долларов, заявил Дмитрук, передает ТАСС.Дмитрук…",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-09-17
мобилизация,Информация о возможном введении мобилизации в России оказалась недостоверной,https://lenta.ru/news/2025/09/15/informatsiya-o-vozmozhnom-vvedenii-mobilizatsii-v-rossii-okazalas-nedostovernoy/,Lenta,Варвара Кошечкина,2025-09-15 08:35:00+00:00,"В сети появилось видеообращение президента России Владимира Путина с объявлением о мобилизации в стране. В публикациях говорится, что мобилизация состоится 20 сентября 2025 года",lenta.ru,81.19.72.34,AS24638 Rambler Internet Holding LLC,RU,2025-09-15
мобилизация,"Противоправная мобилизация ТЦК привела к смерти многодетного отца, боровшегося с диабетом",https://news.mail.ru/politics/67890161/,Mail.ru,Иван Лебедянский,2025-09-14 23:05:22+00:00,Украинец Вячеслав Бек скончался после принудительной мобилизации военкомами территориальных центров комплектования формирований ВСУ.,news.mail.ru,95.163.61.53,AS47764 LLC VK,RU,2025-09-14
мобилизация,Алексей Арестович: Арестович & Шелест: День 1300. Дневник войны (2025-14-09),https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DjOUEbEy7-IU,YouTube,"echo@echo.msk.ru (эхо москвы), эхо москвы",2025-09-14 13:29:37+00:00," Подписывайтесь на каналы: 
 Александр Шелест: www.youtube.com/@shelestSHUM // https://t.me/shelestlive 
 Алексей Арестович: https://www.youtube.com/@arestovych?sub_confirmation=1 

 Станьте спонсором канала: https://www.youtube.com/channel/UCjWy2g76Q…",www.youtube.com,142.250.207.110,AS15169 Google LLC,JP,2025-09-14
мобилизация,"Украинский комик Ганин оскорбительно высказался о мужчинах, утонувших при бегстве через Тису",https://vz.ru/news/2025/9/12/1359297.html#text,Vz.ru,Деловая газета Взгляд,2025-09-12 11:45:31+00:00,"Украинский юморист пренебрежительно прокомментировал гибель сограждан, пытавшихся покинуть страну, чтобы избежать мобилизации в Вооруженные силы Украины. Оскорбительные высказывания Кирилла Ганина в адрес мужчин, погибших при попытке пересечь украинскую грани…",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-09-12
мобилизация,Захарова заявила о мобилизации более 120 тыс. украинцев при поддержке Запада,https://vz.ru/news/2025/9/12/1359252.html#text,Vz.ru,Деловая газета Взгляд,2025-09-12 09:36:55+00:00,"Власти на Украине начали экстренную мобилизацию, намереваясь призвать более 120 тыс. человек и выделив на эти цели 12 млн долларов из западных средств, заявила официальный представитель МИД Мария Захарова. На брифинге официальный представитель МИД РФ Мария За…",vz.ru,80.249.131.71,AS49505 JSC Selectel,RU,2025-09-12
мобилизация,Захарова: Зеленский убивает граждан Украины на деньги Запада,https://tass.ru/politika/25036667,Tass.ru,,2025-09-12 09:28:56+00:00,"Из-за катастрофической нехватки военных на линии фронта Банковой инициирована экстренная мобилизация в Киеве, указала глава МИД РФ",tass.ru,91.221.165.118,AS201706 SERVICEPIPE LLC,RU,2025-09-12
мобилизация,Боец MMA Рындовский: насильственная мобилизация затягивает страдания украинцев,https://tass.ru/obschestvo/25021273,Tass.ru,,2025-09-11 01:33:29+00:00,"Людей ""буквально хватают на улицах, вытаскивают из домов"", сказал заслуженный мастер спорта Украины по самбо и действующий чемпион мира и Европы по бразильскому джиу-джитсу",tass.ru,91.221.165.118,AS201706 SERVICEPIPE LLC,RU,2025-09-11
мобилизация,Сообщения о возможной мобилизации в России оказались фейком,https://lenta.ru/news/2025/09/09/soobscheniya-o-vozmozhnoy-mobilizatsii-v-rossii-okazalis-feykom/,Lenta,Варвара Кошечкина,2025-09-09 12:44:44+00:00,"В закрытых telegram-каналах появились сообщения о том, что в России грядет мобилизация. Эта информация не соответствует действительности",lenta.ru,81.19.72.34,AS24638 Rambler Internet Holding LLC,RU,2025-09-09
мобилизация,В ГД назвали истинную причину мобилизации в ВСУ 122 тыс. человек,https://vfokuse.mail.ru/article/v-gd-raskryli-istinnuyu-prichinu-mobilizacii-v-vsu-122-tys-chelovek-i-obyasnili-eyo-67811521/,Mail.ru,Александра Камынина,2025-09-09 12:34:54+00:00,"Мобилизация на Украине фактически не прекращалась, а план по призыву 122 тысяч человек является лишь задачей военкоматов. Данное мнение выразил в беседе с Life.ru депутат Государственной думы, первый заместитель председателя Комитета по обороне Алексей Журавл…",vfokuse.mail.ru,95.163.61.53,AS47764 LLC VK,RU,2025-09-09
мобилизация,В ГД раскрыли истинную причину мобилизации в ВСУ 122 тыс. человек и объяснили её связь со страхом Зеленского,https://life.ru/p/1787864,Life.ru,Юлия Сафиулина,2025-09-09 12:28:02+00:00,"Мобилизация на Украине фактически не прекращалась, а план по призыву 122 тысяч человек является лишь задачей военкоматов. Данное мнение выразил в беседе с Life.ru депутат Государственной думы, первый заместитель председателя Комитета по обороне Алексей Журавл…",life.ru,212.193.158.178,"AS34879 OOO ""Sovremennye setevye tekhnologii""",RU,2025-09-09
мобилизация,Планы срочной мобилизации на Украине назвали охотой на людей,https://lenta.ru/news/2025/09/09/plany-srochnoy-mobilizatsii-na-ukraine-nazvali-ohotoy-na-lyudey/,Lenta,Антон Похиляк,2025-09-09 11:17:26+00:00,"План по новой срочной мобилизации жителей Украины в ВСУ — не мобилизация в классическом стиле, а охота на людей, назвал ее такой фразой в интервью «Царьграду» координатор николаевского подполья Сергей Лебедев. По его мнению, план набрать только в одной Одесск…",lenta.ru,81.19.72.34,AS24638 Rambler Internet Holding LLC,RU,2025-09-09
